1749255042450,memory.rss,107.69921875,MB
1749255042450,cpu.system.time,453,ms
1749255042450,cpu.user.time,625,ms
1749255047454,memory.rss,75.84375,MB
1749255047454,cpu.system.time,453,ms
1749255047454,cpu.user.time,625,ms
1749255052462,memory.rss,76.5625,MB
1749255052462,cpu.system.time,453,ms
1749255052462,cpu.user.time,625,ms
1749255057462,memory.rss,76.79296875,MB
1749255057462,cpu.system.time,453,ms
1749255057462,cpu.user.time,625,ms
1749255062470,memory.rss,76.875,MB
1749255062470,cpu.system.time,453,ms
1749255062470,cpu.user.time,625,ms
1749255067476,memory.rss,76.890625,MB
1749255067476,cpu.system.time,453,ms
1749255067476,cpu.user.time,625,ms
