timestamp,traceId,spanId,name,duration_ms
1748826830644,eb26597d23daca0f7ac5576470536e52,074ab61b9d8a11d5,middleware - jsonParser,0.6839
1748826830646,eb26597d23daca0f7ac5576470536e52,c7ceb2bacf02ad2a,middleware - urlencodedParser,0.3531
1748826830646,eb26597d23daca0f7ac5576470536e52,21b6c4529d28b0e7,request handler - /api/products,82.5313
1748826830647,eb26597d23daca0f7ac5576470536e52,9adbcafacf44aac7,GET /api/products,89.514
1748826842455,2f8614651b53fbd55c1d4ad1846f0786,e34a3876845d91c6,middleware - jsonParser,0.0676
1748826842456,2f8614651b53fbd55c1d4ad1846f0786,6fa6ea11a66b329b,middleware - urlencodedParser,0.0515
1748826842458,2f8614651b53fbd55c1d4ad1846f0786,32c007f67ba235de,request handler - /api/products,63.4665
1748826842459,2f8614651b53fbd55c1d4ad1846f0786,c3157affde143900,GET /api/products,64.7672
1748827093210,1735ee342bc9d37687e17576a4ebce11,efc3099988c6d787,middleware - jsonParser,0.3912
1748827093211,1735ee342bc9d37687e17576a4ebce11,68308e1ee8dcd010,middleware - urlencodedParser,0.2281
1748827093211,1735ee342bc9d37687e17576a4ebce11,c4024e89cf81d9c6,request handler - /api/products,22.3541
1748827093212,1735ee342bc9d37687e17576a4ebce11,8af5bc3a87e23e87,GET /api/products,27.7078
1748827122002,e9a3eeaa2d0023fa6db53b5250c4d220,783b648abe00c52d,middleware - jsonParser,0.0708
1748827122003,e9a3eeaa2d0023fa6db53b5250c4d220,26504bc08063d630,middleware - urlencodedParser,0.0554
1748827122003,e9a3eeaa2d0023fa6db53b5250c4d220,5cf41bf56fd90766,request handler - /api/customer,65.4759
1748827122003,e9a3eeaa2d0023fa6db53b5250c4d220,857cc71d39df86e6,GET /api/customer,66.6339
